timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,tranche,r2,mae,smape,n,notes
2026-07-05T18:13:30,GAT,concat,topk,True,node,first,1M,0.2536,47560161.96,128.43,224,
2026-07-05T18:13:30,GAT,concat,topk,True,node,first,10M,0.1456,82443009.44,89.11,87,
2026-07-05T18:13:30,GAT,concat,topk,True,node,first,100M,-1.0007,225519131.79,106.08,22,
2026-07-05T18:13:37,GAT,blend,keepall,True,node,first,all,0.0502,25476849.48,179.64,948,
2026-07-05T18:13:37,GAT,blend,keepall,True,node,first,1M,0.0538,46386980.38,123.35,224,
2026-07-05T18:13:37,GAT,blend,keepall,True,node,first,10M,-0.1517,87109792.41,87.84,87,
2026-07-05T18:13:37,GAT,blend,keepall,True,node,first,100M,-1.8997,276889510.61,144.2,22,
2026-07-05T18:13:45,GAT,blend,topk,True,node,first,all,0.0806,20753586.53,176.39,948,
2026-07-05T18:13:45,GAT,blend,topk,True,node,first,1M,0.0537,42683936.62,113.52,224,
2026-07-05T18:13:45,GAT,blend,topk,True,node,first,10M,-0.1623,85665707.06,84.03,87,
2026-07-05T18:13:45,GAT,blend,topk,True,node,first,100M,-1.9282,276619614.61,142.15,22,
2026-07-05T18:13:53,GAT,attention,keepall,True,node,first,all,0.1005,22034989.36,174.39,948,
2026-07-05T18:13:53,GAT,attention,keepall,True,node,first,1M,0.1295,44178768.34,114.8,224,
2026-07-05T18:13:53,GAT,attention,keepall,True,node,first,10M,-0.0527,85126303.72,89.64,87,
2026-07-05T18:13:53,GAT,attention,keepall,True,node,first,100M,-1.6133,256082796.61,122.62,22,
2026-07-05T18:14:01,GAT,attention,topk,True,node,first,all,0.1774,17867070.29,173.07,948,
2026-07-05T18:14:01,GAT,attention,topk,True,node,first,1M,0.2103,42025663.95,114.27,224,
2026-07-05T18:14:01,GAT,attention,topk,True,node,first,10M,0.0759,85242175.37,102.6,87,
2026-07-05T18:14:01,GAT,attention,topk,True,node,first,100M,-1.1203,217546326.93,100.68,22,
