model,feature_removed,original_log_r2,loo_log_r2,delta_log_r2,original_spearman,loo_spearman,delta_spearman
EdgeGAT_full_attention_ka_tk,score_mean,0.287,0.08613848892669917,-0.2008615110733008,0.576,0.28701164455819783,-0.2889883554418021
EdgeGAT_full_attention_ka_tk,score_max,0.287,0.061824519565259695,-0.22517548043474028,0.576,0.2578754591532397,-0.3181245408467603
EdgeGAT_full_attention_ka_tk,score_vol,0.287,0.06471815531919323,-0.22228184468080675,0.576,0.2621658825620976,-0.31383411743790235
EdgeGAT_full_attention_ka_tk,tone_mean,0.287,0.21469752355474359,-0.07230247644525639,0.576,0.5254151871907939,-0.050584812809206015
EdgeGAT_full_attention_ka_tk,active_months,0.287,0.19371121034137362,-0.09328878965862636,0.576,0.5415381902957012,-0.034461809704298796
EdgeGAT_full_attention_ka_tk,pair_events,0.287,0.05644110555960946,-0.23055889444039052,0.576,0.2543529308238527,-0.32164706917614727
EdgeGAT_full_attention_ka_tk,pair_score_mean,0.287,0.07561393359775836,-0.2113860664022416,0.576,0.2711695670076852,-0.30483043299231477
EdgeGAT_full_attention_ka_tk,pair_score_max,0.287,0.18365540760024246,-0.10334459239975752,0.576,0.5469611906489806,-0.029038809351019323
EdgeGAT_full_attention_ka_tk,pair_gold_mean,0.287,0.17685739688566493,-0.11014260311433505,0.576,0.5219718894445053,-0.05402811055549461
EdgeGAT_full_attention_ka_tk,dist,0.287,0.08597755567946819,-0.2010224443205318,0.576,0.28780547720283256,-0.2881945227971674
EdgeGAT_full_blend_tk_tk,refYear,0.338,0.31285142134782584,-0.02514857865217418,0.588,0.5727740464423947,-0.015225953557605254
EdgeGAT_full_blend_tk_tk,cmdCode,0.338,0.05825534511434982,-0.2797446548856502,0.588,0.5069662235099236,-0.08103377649007637
EdgeGAT_full_blend_tk_tk,gdpcap_d,0.338,0.21556435348535852,-0.1224356465146415,0.588,0.5203095909571761,-0.06769040904282386
EdgeGAT_full_blend_tk_tk,gdpcap_o,0.338,0.2257504519764003,-0.11224954802359971,0.588,0.4793969649499861,-0.10860303505001384
EdgeGAT_full_blend_tk_tk,pop_o,0.338,0.21857889342022419,-0.11942110657977584,0.588,0.49694866941519844,-0.09105133058480153
EdgeGAT_full_blend_tk_tk,pop_d,0.338,0.25430506481349724,-0.08369493518650278,0.588,0.5443372681782676,-0.043662731821732415
EdgeGAT_full_blend_tk_tk,events_total,0.338,0.1978349110956722,-0.14016508890432783,0.588,0.5145498175398637,-0.07345018246013624
EdgeGAT_full_blend_tk_tk,score_mean,0.338,0.27331536180184024,-0.06468463819815978,0.588,0.5446822372807703,-0.04331776271922971
EdgeGAT_full_blend_tk_tk,score_max,0.338,0.3005531337605768,-0.03744686623942323,0.588,0.5580187423275196,-0.029981257672480388
EdgeGAT_full_blend_tk_tk,score_vol,0.338,0.2636716126841888,-0.0743283873158112,0.588,0.5591342847988205,-0.02886571520117942
EdgeGAT_full_blend_tk_tk,goldstein_wmean,0.338,0.19952795190357409,-0.13847204809642594,0.588,0.5228367383611544,-0.06516326163884556
EdgeGAT_full_blend_tk_tk,tone_mean,0.338,0.27228166106245866,-0.06571833893754137,0.588,0.5282290755243717,-0.05977092447562826
EdgeGAT_full_blend_tk_tk,active_months,0.338,0.11699221802546889,-0.22100778197453114,0.588,0.5407827328850376,-0.047217267114962325
EdgeGAT_full_blend_tk_tk,pair_events,0.338,0.24691788631574296,-0.09108211368425706,0.588,0.5151716072737108,-0.07282839272628916
EdgeGAT_full_blend_tk_tk,pair_score_mean,0.338,0.33372737130759156,-0.0042726286924084644,0.588,0.5846555908789779,-0.003344409121022074
