chapter,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
8209,per_chapter,1773270.7117162507,4183605.913110594,0.1594210532223046,0.6102664197398767,0.7663770053475936,123.94712962937795,33,GAT_first_none_perproduct
8210,per_chapter,114608.15029003864,327544.8184035689,0.5122177522695659,0.42421147954174965,0.6514037433155081,86.81255623297606,33,GAT_first_none_perproduct
8211,per_chapter,82770.9008955789,319380.7310285428,0.500749365787954,0.416882221550407,0.7583247362144937,109.59842675612596,200,GAT_first_none_perproduct
8212,per_chapter,563600.2693025109,1404488.2231342986,-0.39886949946689754,0.15495497768916233,0.47050836544368946,129.63044612059505,95,GAT_first_none_perproduct
8213,per_chapter,71804.82837442294,193546.24731090327,0.9475788218471576,0.4793755635178947,0.7544534412955466,108.3093984122114,39,GAT_first_none_perproduct
8214,per_chapter,75191.62608577398,357188.5463447194,0.4254717400214252,0.4715541561973762,0.6695849672546407,108.90439019655321,100,GAT_first_none_perproduct
8215,per_chapter,150791.03081402564,903873.8662530598,0.21261321917233922,0.38223975309912994,0.7001716981161045,103.61631682571715,134,GAT_first_none_perproduct
8301,per_chapter,254311.1075083872,1015261.2769066872,0.39162143506520675,0.442879425668674,0.744247383504891,110.08230016884444,239,GAT_first_none_perproduct
8302,per_chapter,524391.2814233407,2024552.5060644743,0.37682846915748036,0.33270086286303036,0.7156584132247701,109.34583016426913,298,GAT_first_none_perproduct
8303,per_chapter,98289.69949993168,240448.58084044236,0.9047996075360649,0.3156461686145392,0.7278330962541488,100.72935479085918,37,GAT_first_none_perproduct
8304,per_chapter,55118.55026715027,134482.7396618937,0.8154942629144675,0.34384871465300937,0.5625000000000001,100.08512428369869,33,GAT_first_none_perproduct
8305,per_chapter,81863.9401123969,308315.8441869348,0.3082238813461602,0.31389790874151535,0.6339285381282282,110.87598164239134,93,GAT_first_none_perproduct
8306,per_chapter,152468.9012965129,801128.7405668058,0.3142960222861956,0.37259517435750955,0.640997281993697,104.27098981975142,135,GAT_first_none_perproduct
8307,per_chapter,195787.59347216476,552962.0974237347,0.1683686121987772,0.40534183728104334,0.7342638505418769,94.79505769756969,67,GAT_first_none_perproduct
8308,per_chapter,261550.79552502432,804545.4889867526,0.3506310716647445,0.31764182324377543,0.6022855197424188,124.09838925274643,103,GAT_first_none_perproduct
8309,per_chapter,916400.125919984,2163308.7890720633,0.04153137443011323,0.10096491635770222,0.4033216783216783,135.43893436055674,65,GAT_first_none_perproduct
8310,per_chapter,137639.50903956147,298492.9914037721,0.5895190150453558,0.4091603678896999,0.689900426742532,109.16805346783399,38,GAT_first_none_perproduct
8311,per_chapter,471577.7616089879,1110162.3988009149,-1.3484925206453373,0.21827185378643055,0.6173105433125127,121.58027483471561,136,GAT_first_none_perproduct
8401,per_chapter,10667307.374406997,42666922.74251135,-0.06631811543008559,-0.013328196647728774,0.358502024291498,142.1475945132165,39,GAT_first_none_perproduct
8402,per_chapter,499481.8782014117,1403491.4001071185,0.32577412732464295,0.06852032318020385,0.5116365702504149,126.86314163895443,118,GAT_first_none_perproduct
8403,per_chapter,791231.4391718649,1668986.8803491634,-0.1050872795465767,0.09760590284928627,0.5268685746040568,124.15885032332368,60,GAT_first_none_perproduct
8404,per_chapter,234893.73620548594,609204.2558064407,0.20347765809336082,-0.10593322726995358,0.513720844131803,123.98334240771058,74,GAT_first_none_perproduct
8405,per_chapter,168176.91180890342,304649.12654517364,-0.051303341974470174,0.341220583668546,0.5960328979196904,100.4980193437125,53,GAT_first_none_perproduct
8406,per_chapter,2429171.7827385515,9871446.779187731,-0.03976725615147214,0.1579300015260101,0.42655623425005107,148.63027813530417,65,GAT_first_none_perproduct
8407,per_chapter,1941592.181327255,8468672.352289762,-0.0286427232615325,0.1729472415814023,0.49251893343187225,128.5966665708266,222,GAT_first_none_perproduct
8408,per_chapter,1910280.0708600078,6123876.257033359,0.10472222254634134,0.5187357170829527,0.7620797021580779,98.10364383303181,103,GAT_first_none_perproduct
8409,per_chapter,1828549.8237403138,4798060.957752167,0.25686202868698815,0.4065395744747131,0.6567451698298558,115.49063467504892,119,GAT_first_none_perproduct
8410,per_chapter,212281.6611511347,644821.4595454567,-0.07012772021837654,0.2986262147959834,0.5590083675038342,121.70657288298908,69,GAT_first_none_perproduct
8411,per_chapter,10831686.212970752,36414806.81040946,-0.05360719408752246,0.20405897349223345,0.4870060069036046,134.09309575283905,187,GAT_first_none_perproduct
8412,per_chapter,530061.7585237243,1185797.410981257,0.33468197696695423,0.4001577415751161,0.6708322475542525,103.7882535069025,238,GAT_first_none_perproduct
8413,per_chapter,660790.403489035,1938211.9590040082,0.30981412613680304,0.30239481517189215,0.6299169219760599,108.82694973087696,436,GAT_first_none_perproduct
8414,per_chapter,1070405.232673861,3489541.882811889,0.3773583772658774,0.4266053182242323,0.6858403086154677,109.57607873769193,343,GAT_first_none_perproduct
8415,per_chapter,1378159.4993002235,5765332.823330199,0.22896576614999564,0.30187239246753694,0.6096958736439141,115.50778338154693,214,GAT_first_none_perproduct
8416,per_chapter,140551.34926346273,290724.0593109906,0.12818255791559752,0.40956797521465704,0.6724596456441396,109.86045541166678,113,GAT_first_none_perproduct
8417,per_chapter,371187.0986454548,946076.0415831972,0.4517631792824043,0.4448395508313723,0.7328257007494527,105.16406998855842,124,GAT_first_none_perproduct
8418,per_chapter,701229.1965544517,1977503.9517220673,0.4401769019008984,0.2631657009863748,0.5563491541090669,117.40283307269152,345,GAT_first_none_perproduct
8419,per_chapter,684385.4948554873,1540654.7601490263,0.2428389755413778,0.29616331665580065,0.6949499926617996,111.32862569598592,363,GAT_first_none_perproduct
8420,per_chapter,369074.81667915144,2296248.2680315743,0.0043608905080521065,0.3539763413217696,0.636712823113079,108.97047249728564,87,GAT_first_none_perproduct
8421,per_chapter,780888.3159908646,2359468.421516368,0.28033157135409104,0.381620892387712,0.6687864473812402,114.18986073575128,393,GAT_first_none_perproduct
8422,per_chapter,809719.7788162462,2360729.2377191284,0.07852543624508734,0.4088144767391957,0.6749428163124573,112.27261338285155,208,GAT_first_none_perproduct
