model,feature_removed,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman
EdgeGAT_full_attention_ka_ka,goldstein_wmean,823177942645430.8,28691077.753291715,1782254.6794567176,120.53947347882273,0.02357512711938403,6.485364741628611,2.5466379290406813,1.9593818036881059,0.2689296191096048,0.5467717012285886
EdgeGAT_full_attention_ka_ka,tone_mean,1211345392232209.5,34804387.54284019,1993618.623956456,132.55225439449853,-0.4368555197479578,8.54616207484303,2.923381958424699,2.3170611633446145,0.036623811903356396,0.2541628108508952
EdgeGAT_full_attention_ka_ka,active_months,827518911372631.2,28766628.432484597,1708185.372434143,119.09951110286494,0.018426021904035528,6.27382683792878,2.504760834476773,1.9209106629433974,0.29277547851638897,0.5524875997253117
EdgeGAT_full_attention_ka_ka,pair_events,871601462975958.5,29522897.26595204,1823611.5042444968,121.12116766761909,-0.03386315837599563,6.470489318466571,2.543715652046543,1.965225777634548,0.27060646871024074,0.5443793948992839
EdgeGAT_full_attention_ka_ka,pair_score_mean,843201737154379.6,29037936.172434494,1892438.778684769,123.85185032095177,-0.00017639730212182236,7.256576213272263,2.6938032989199976,2.0762681350163836,0.181993897406467,0.5137962156297389
EdgeGAT_full_attention_ka_ka,pair_score_max,816198327432012.5,28569184.9276806,1801323.0253644222,121.95763278827143,0.03185410247143983,7.069140133190066,2.6587854620465463,2.0329253728316106,0.20312285035166144,0.5443701351315361
EdgeGAT_full_attention_ka_ka,pair_gold_mean,842485760389399.4,29025605.254488654,1747630.5771673552,131.81345491855748,0.0006728692847410844,8.130977900733496,2.8514869631007427,2.2704179662064385,0.08342593705718382,0.2833169912268781
EdgeGAT_full_attention_ka_ka,dist,2.5579738425199763e+19,5057641587.26177,16276395.613285836,123.17713286908474,-30340.790694582975,7.069214495880983,2.6587994463443425,2.049660300740983,0.20311446772972142,0.5291569582816873
EdgeGAT_full_attention_ka_tk,refYear,9.171619922211198e+42,3.0284682468553633e+21,8.608015658198961e+18,119.87728266597573,-1.0879054640208906e+28,6.26426861655832,2.5028520964208654,1.928482762642737,0.29385294028088826,0.5536053854368793
EdgeGAT_full_attention_ka_tk,cmdCode,1.4943691228185168e+21,38657070799.77112,111629936.58229958,131.84292466625175,-1772567.3660759677,8.138129900148826,2.8527407698823293,2.2712554077573195,0.08261971949734004,0.28177751163970005
