train_end,test_year,model,n,mae,rmse,r2,log_r2
2018,2021,GAT_first_keepall_attention,13,3693171610.6586537,9794814103.909466,-0.16572316604587511,-3.5101773384203625
2018,2021,EdgeGAT_full_blend_tk_tk,13,3693549485.0492787,9794947050.329786,-0.16575481131696268,-4.6343951190038695
2018,2021,RF_first_keepall,13,3287094690.3443875,8978805266.075663,0.020419488134660657,0.32274889605211654
2018,2022,GAT_first_none,12,4337990455.166663,9725407414.253729,-0.10687765460298904,-0.2707388168455753
2018,2022,GAT_first_keepall_attention,12,4151412989.4635377,10133331101.15291,-0.2016790204024943,-3.1500822854153014
2018,2022,EdgeGAT_full_blend_tk_tk,12,4151560441.4947877,10133349482.327068,-0.20168337993465002,-3.4889305781198283
2018,2022,RF_first_keepall,12,3675169567.022598,9108104110.003267,0.029177160481986375,0.3815427315675286
2018,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2018,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2018,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2018,2024,RF_first_keepall,2,21511066234.586376,29774675687.895477,-1.0881036565406585,
2018,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2018,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2018,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2018,2025,RF_first_keepall,2,21936232757.086403,30483753865.102947,-1.070358157846405,
2019,2020,GAT_first_none,13,2884913814.8197074,8096207995.8793,-0.14542828655966966,-5.117068488750244
2019,2020,GAT_first_keepall_attention,13,2884618731.072111,8096123103.129588,-0.14540426592010713,-3.9779347087594656
2019,2020,EdgeGAT_full_blend_tk_tk,13,2885050695.6177845,8096271457.253162,-0.14544624329636724,-6.216141800485327
2019,2020,RF_first_keepall,13,1890766727.5436568,5178677343.436954,0.5313568251034526,0.526907234745416
2019,2021,GAT_first_none,13,3693171907.8701925,9794770523.202122,-0.1657127926122226,-3.569067689045025
2019,2021,GAT_first_keepall_attention,13,3693362422.581731,9794905055.476725,-0.1657448152247305,-3.9469333172509016
2019,2021,EdgeGAT_full_blend_tk_tk,13,3693726506.9326925,9795040139.001417,-0.16577696949340637,-5.632140642436307
2019,2021,RF_first_keepall,13,1901657365.7180111,5842266621.887894,0.5852696893325977,0.4349919474016246
2019,2022,GAT_first_none,12,4150781787.406246,10132933599.36409,-0.20158474534395365,-2.4793409607654078
2019,2022,GAT_first_keepall_attention,12,4151647588.2083297,10133451216.589884,-0.20170750877510635,-3.633424322800214
2019,2022,EdgeGAT_full_blend_tk_tk,12,4151910875.0677047,10133547331.653624,-0.20173030510364254,-4.480141637923864
2019,2022,RF_first_keepall,12,1848104651.522601,5310384362.061656,0.6699832941457832,0.521406282880837
2019,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2019,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2019,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2019,2024,RF_first_keepall,2,21423128898.587288,29721029621.46727,-1.0805860174040456,
2019,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2019,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2019,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2019,2025,RF_first_keepall,2,21848295421.08731,30430399792.533817,-1.0631172273489917,
2020,2021,GAT_first_none,13,3693416678.3725963,9794885854.494307,-0.1657402448029377,-4.185371317676141
2020,2021,GAT_first_keepall_attention,13,3693854875.4783654,9795094119.510595,-0.16578981873279885,-7.5478800471233605
2020,2021,EdgeGAT_full_blend_tk_tk,13,3693537379.6045675,9794936988.673992,-0.16575241632338744,-4.606699863542677
2020,2021,RF_first_keepall,13,2828269247.5164638,8015055284.310178,0.21942241518743422,0.5185625175642078
2020,2022,GAT_first_none,12,4151619034.640621,10133390107.312847,-0.20169301514325788,-3.600434118070358
2020,2022,GAT_first_keepall_attention,12,4152171731.994951,10133665360.117477,-0.20175829909296383,-7.34145557258007
2020,2022,EdgeGAT_full_blend_tk_tk,12,4151672388.7604127,10133401497.17118,-0.20169571653356266,-3.743305075929535
2020,2022,RF_first_keepall,12,3121556505.276879,7982117879.387548,0.25437529895105326,0.5394178360623096
2020,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2020,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2020,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2020,2024,RF_first_keepall,2,21555112089.35206,29819330991.927437,-1.0943717232549983,
2020,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2020,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2020,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2020,2025,RF_first_keepall,2,21980278611.852085,30528338464.90107,-1.07641867075683,
2021,2022,GAT_first_none,12,4151970735.886064,10133557794.0106,-0.2017327865521461,-4.865537569243348
2021,2022,GAT_first_keepall_attention,12,4151929818.091142,10133566951.84392,-0.20173495859749302,-4.563401199284325
2021,2022,EdgeGAT_full_blend_tk_tk,12,4151661783.434892,10133436173.109787,-0.20170394081998722,-3.673945808992939
2021,2022,RF_first_keepall,12,2690995153.9870105,7091695032.914287,0.4114489823000559,0.5978545359905822
2021,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2021,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
