train_end,test_year,model,n,mae,rmse,r2,log_r2,spearman
2018,2019,HS4Edge_GAT_topk_concat,5933,119941210.0,1896487466.9821556,-0.0040104260893509824,0.011047315564915894,0.17995713179090528
2018,2019,HS4Edge_EdgeGAT_attention_ka_tk,5933,117823960.0,1882483132.4275846,0.010762798487070402,0.42295921690170335,0.6433246576698302
2018,2019,HS4Edge_EdgeGAT_blend_tk_ka,5933,124420160.0,1807621322.4683323,0.08787761742598466,0.46439206374311426,0.6653459883144939
2019,2020,HS4Edge_GAT_none,6170,130467780.0,2148079405.362157,-0.0036966072031958674,0.048413202839512004,0.3108563269421563
2019,2020,HS4Edge_GAT_topk_concat,6170,130480200.0,2148085803.577625,-0.0037026612129409386,-0.19405462981511312,0.0906164604272401
2019,2020,HS4Edge_EdgeGAT_attention_ka_tk,6170,129554330.0,2145665854.640778,-0.001442574629030302,0.348366807486567,0.5883134773681037
2019,2020,HS4Edge_EdgeGAT_blend_tk_ka,6170,126754890.0,2125647381.0982616,0.017156661258890038,0.43652820397281844,0.6519976843664886
2020,2021,HS4Edge_GAT_none,6523,160143360.0,2792998851.5099425,-0.003290776816740726,0.030353364104250713,0.2778280046894753
2020,2021,HS4Edge_GAT_topk_concat,6523,160137650.0,2793000032.510853,-0.003291459308985223,0.056584332749514576,0.3844361249257727
2020,2021,HS4Edge_EdgeGAT_attention_ka_tk,6523,169474540.0,2801018441.2489257,-0.009060404576334058,0.4867391471216186,0.6813959447773635
2020,2021,HS4Edge_EdgeGAT_blend_tk_ka,6523,153476930.0,2759599139.1002913,0.020561292312528123,0.47318523092485276,0.6725544838012796
2021,2022,HS4Edge_GAT_none,5900,182407150.0,2852976441.1408696,-0.0040940835814753385,0.02531117328030752,0.23119964604412324
2021,2022,HS4Edge_GAT_topk_concat,5900,182411220.0,2852984727.036725,-0.004100002884564802,0.0037240934732379882,0.09303051582192108
2021,2022,HS4Edge_EdgeGAT_attention_ka_tk,5900,173406820.0,2813320028.2512293,0.02362571785725065,0.5575850097813284,0.7292956705434549
2021,2022,HS4Edge_EdgeGAT_blend_tk_ka,5900,173301620.0,2803124313.3819976,0.030689843285504725,0.49975172603822093,0.6932633036325675
2022,2023,HS4Edge_GAT_none,5085,133623240.0,2491290024.3145185,-0.0028574286456228837,-0.001712087301918075,0.3351485885801885
2022,2023,HS4Edge_GAT_topk_concat,5085,133519380.0,2491158500.8423047,-0.002751597362425473,0.1809507319656235,0.5898137227825845
2022,2023,HS4Edge_EdgeGAT_attention_ka_tk,5085,520531070.0,12869688554.732191,-25.762501164832333,0.44457869479838585,0.639400183830502
2022,2023,HS4Edge_EdgeGAT_blend_tk_ka,5085,197078400.0,3585752934.046977,-1.0775495499738268,0.47155699821985997,0.6782011302512778
2023,2024,HS4Edge_GAT_none,11443,102438300.0,2123084301.3715913,-0.0023309897363728016,0.002446773870912633,0.10013290093328034
2023,2024,HS4Edge_GAT_topk_concat,11443,102461784.0,2123070188.9826403,-0.002317628352185741,-0.0698087320748384,0.25481997302372217
2023,2024,HS4Edge_EdgeGAT_attention_ka_tk,11443,101747100.0,2115031142.8947792,0.005258593401832767,0.2699035165470852,0.49969855862965507
2023,2024,HS4Edge_EdgeGAT_blend_tk_ka,11443,102414424.0,2123069930.0388474,-0.0023174014934472797,0.12626981037447793,0.4218289191907759
2024,2025,HS4Edge_GAT_none,9874,91606900.0,2408423743.5330353,-0.001444609373488781,0.003829731852265761,0.16496325549949156
2024,2025,HS4Edge_GAT_topk_concat,9874,91605140.0,2408425455.510485,-0.0014460321012912392,0.010944344900797764,0.11848011055698414
2024,2025,HS4Edge_EdgeGAT_attention_ka_tk,9874,91514900.0,2408159513.7582827,-0.0012249754482427377,0.24887892256591115,0.527687775629189
2024,2025,HS4Edge_EdgeGAT_blend_tk_ka,9874,91491070.0,2408218069.120206,-0.0012735642366394906,0.2248277347433042,0.4858569676407664
